"","STATISTICNA REGIJA","VRSTA ZEMLJIŠCA","2003 Površina [ha]","2005 Površina [ha]","2007 Površina [ha]","2010 Površina [ha]","2013 Površina [ha]","2016 Površina [ha]"
"72","Jugovzhodna Slovenija","Nerodovitno",1114,1255,1529,1241,2096,1801
"73","Osrednjeslovenska","Vrsta zemljišca - SKUPAJ",132308,136458,136445,131079,131309,121405
"74","Osrednjeslovenska","Kmetijska zemljišca",67387,67277,68152,65726,64296,60497
"75","Osrednjeslovenska","..Njive",17137,17239,17772,17087,16689,15845
"76","Osrednjeslovenska","....Žita",5768,4814,4955,5365,4209,4914
"77","Osrednjeslovenska","....Zelena krma z njiv",9096,10372,10655,10160,10869,8986
"78","Osrednjeslovenska","..Trajni nasadi",1061,670,601,722,718,645
"79","Osrednjeslovenska","..Trajni travniki in pašniki",47273,44946,46630,44807,44872,42749
"80","Osrednjeslovenska","Gozd",63516,67122,66141,63484,63941,59188
"81","Osrednjeslovenska","Nerodovitno",1405,2059,NA,1869,NA,1719
"82","Gorenjska","Vrsta zemljišca - SKUPAJ",85329,85430,87735,82802,86001,83813
"83","Gorenjska","Kmetijska zemljišca",34903,36744,36182,33077,33647,32145
"84","Gorenjska","..Njive",7608,8754,8481,8427,7852,7636
"85","Gorenjska","....Žita",1685,1893,1933,2105,1856,1823
"86","Gorenjska","....Zelena krma z njiv",4390,5305,5106,5179,4876,4536
"87","Gorenjska","..Trajni nasadi",628,391,377,395,418,421
"88","Gorenjska","..Trajni travniki in pašniki",24225,24427,24868,22589,24203,23325
"89","Gorenjska","Gozd",48895,46888,49368,47919,51052,50558
"90","Gorenjska","Nerodovitno",NA,NA,NA,1805,1302,1110
"91","Primorsko-notranjska","Vrsta zemljišca - SKUPAJ",42660,43330,46035,46177,42700,43021
"92","Primorsko-notranjska","Kmetijska zemljišca",24976,25077,25754,26866,23870,22357
"93","Primorsko-notranjska","..Njive",1667,1655,1643,1741,1491,1833
"94","Primorsko-notranjska","....Žita",NA,347,268,270,291,455
"95","Primorsko-notranjska","....Zelena krma z njiv",NA,NA,1013,1152,914,1043
"96","Primorsko-notranjska","..Trajni nasadi",NA,399,NA,393,373,409
"97","Primorsko-notranjska","..Trajni travniki in pašniki",18119,18023,19637,20107,19307,18672
"98","Primorsko-notranjska","Gozd",17108,17630,19338,18743,18296,20087
"99","Primorsko-notranjska","Nerodovitno",NA,622,NA,568,534,578
"100","Goriška","Vrsta zemljišca - SKUPAJ",70845,60932,68542,63090,60118,62014
"101","Goriška","Kmetijska zemljišca",41731,36231,38959,36717,34100,33986
"102","Goriška","..Njive",3200,2869,2835,2690,2858,2712
"103","Goriška","....Žita",NA,NA,1226,1213,1200,875
"104","Goriška","....Zelena krma z njiv",NA,1151,1108,1079,1212,1139
"105","Goriška","..Trajni nasadi",5472,5366,4683,5273,5035,5099
"106","Goriška","..Trajni travniki in pašniki",23810,20789,24185,21451,22195,23131
"107","Goriška","Gozd",27781,23661,28311,25416,25189,27021
"108","Goriška","Nerodovitno",NA,NA,NA,957,829,1007
"109","Obalno-kraška","Vrsta zemljišca - SKUPAJ",26477,27563,31379,22802,26814,23677
"110","Obalno-kraška","Kmetijska zemljišca",19689,NA,24587,16946,19054,16783
"111","Obalno-kraška","..Njive",1574,1735,1962,1175,1470,1238
"112","Obalno-kraška","....Žita",NA,478,NA,249,302,289
"113","Obalno-kraška","....Zelena krma z njiv",NA,NA,NA,595,784,460
"114","Obalno-kraška","..Trajni nasadi",3131,3301,3481,3509,3565,3668
"115","Obalno-kraška","..Trajni travniki in pašniki",7628,NA,12886,8917,10489,10152
"116","Obalno-kraška","Gozd",NA,6444,6505,5393,6807,6151
"117","Obalno-kraška","Nerodovitno",NA,NA,NA,464,953,743
