"","regija","leto","kmetijske.kulture","povprecni.pridelek"
"202","sg",2014,"trave",6.9
"203","sg",2019,"jabolka",0.5
"204","sg",2012,"jabolka",20
"205","sg",2017,"travniki in pašniki",5.6
"206","sg",2015,"trave",6
"207","sg",2014,"grozdje",6.2
"208","sg",2013,"trave",4.9
"209","sg",2013,"trave",5.4
"210","sg",2018,"breskve in nektarine",17
"211","sg",2016,"belo zelje",21.3
"212","kp",2017,"trave",4.1
"213","sg",2012,"trave",7
"214","sg",2018,"travniki in pašniki",6
"215","sg",2011,"grozdje",7.1
"216","sg",2017,"trave",6.9
"217","kp",2018,"grozdje",7.2
"218","kp",2012,"travniki in pašniki",1.8
"219","sg",2011,"trave",8.7
"220","sg",2016,"breskve in nektarine",16.2
"221","sg",2010,"jabolka",15
"222","kp",2014,"lucerna",6
"223","ng",2016,"psenica in pira",4.8
"224","kp",2013,"breskve in nektarine",7.5
"225","sg",2012,"grozdje",5.4
"226","sg",2017,"lucerna",6.9
"227","sg",2010,"lucerna",8.2
"228","sg",2020,"jabolka",26
"229","sg",2014,"belo zelje",20.4
"230","sg",2019,"detelja",7.6
"231","kp",2012,"trave",2.1
"232","sg",2016,"travniki in pašniki",5.8
"233","sg",2010,"detelja",7.7
"234","ng",2020,"oves",3.7
"235","ng",2014,"jecmen",3.6
"236","ng",2014,"tritikala",3.7
"237","ng",2013,"buce",0.5
"238","sg",2016,"lucerna",7.1
"239","ng",2010,"oljna ogrscica in repica",2.8
"240","ng",2015,"koruza",34.3
"241","kp",2016,"detelja",4.6
"242","kp",2010,"trave",5.2
"243","kp",2015,"oljke",1.5
"244","kp",2020,"belo zelje",31.5
"245","ng",2011,"oves",2.9
"246","kp",2012,"oljke",0.8
"247","kp",2017,"jabolka",8.5
"248","kp",2011,"belo zelje",20.8
"249","ng",2011,"buce",0.7
"250","sg",2015,"trave",6.4
"251","kp",2017,"trave",3.9
"252","kp",2013,"travniki in pašniki",2.8
"253","kp",2018,"trave",4.6
"254","kp",2010,"lucerna",6.3
"255","ng",2012,"tritikala",3.3
"256","kp",2011,"lucerna",6.2
"257","kp",2016,"trave",3.9
"258","kp",2010,"breskve in nektarine",12.9
"259","ng",2019,"oljna ogrscica in repica",3
"260","ng",2018,"rz in sorzica",3.4
"261","kp",2018,"jecmen",3.4
"262","kp",2017,"belo zelje",22.7
"263","ng",2019,"rz in sorzica",3.8
"264","ng",2013,"tritikala",2.9
"265","ng",2012,"buce",0.5
"266","ng",2017,"koruza",6.6
"267","kp",2018,"trave",4.3
"268","kp",2015,"trave",3.7
"269","kp",2020,"jabolka",39.1
"270","kp",2013,"jabolka",23.4
"271","kp",2018,"travniki in pašniki",2.9
"272","ng",2016,"koruza",6.3
"273","kp",2011,"jabolka",34.1
"274","kp",2011,"oljke",1.9
"275","kp",2016,"belo zelje",24
"276","kp",2014,"trave",5.1
"277","kp",2019,"breskve in nektarine",14
"278","ng",2012,"oljke",0.9
"279","kp",2016,"trave",3.9
"280","kp",2010,"oljke",2.1
"281","kp",2015,"belo zelje",22.2
"282","kp",2015,"grozdje",7
"283","ng",2013,"krompir",18.2
"284","kp",2013,"rz in sorzica",3.8
"285","ng",2018,"trave",7
"286","kp",2016,"buce",0.5
"287","kp",2014,"belo zelje",21
"288","kp",2019,"detelja",5
"289","kp",2013,"trave",3
"290","kp",2013,"detelja",3.6
"291","kp",2010,"detelja",5.5
"292","kp",2011,"psenica in pira",3.9
"293","kp",2013,"grozdje",6.6
"294","kp",2018,"lucerna",4.7
"295","kp",2012,"trave",2.4
"296","kp",2012,"detelja",2.2
"297","kp",2018,"krompir",23.4
"298","kp",2016,"travniki in pašniki",3.1
"299","kp",2020,"lucerna",4.9
"300","kp",2019,"oljke",1.5
"301","ng",2018,"grozdje",8.7
"302","ng",2012,"travniki in pašniki",3.8
"303","ng",2017,"belo zelje",21.5
"304","ng",2011,"lucerna",7.7
"305","ng",2016,"trave",7.1
"306","kp",2020,"detelja",4.8
"307","kp",2019,"koruza",30
"308","ng",2013,"detelja",7
"309","kp",2016,"krompir",20.2
"310","kp",2010,"koruza",6.5
"311","kp",2010,"koruza",44
"312","kp",2015,"oves",2.7
"313","kp",2020,"psenica in pira",3.8
"314","ng",2014,"jabolka",27.7
"315","kp",2012,"koruza",2.8
"316","kp",2017,"tritikala",3.2
"317","kp",2015,"oljna ogrscica in repica",3.2
"318","kp",2020,"koruza",52.2
"319","kp",2014,"rz in sorzica",4
"320","kp",2019,"jecmen",3.5
"321","kp",2017,"breskve in nektarine",15.1
"322","kp",2012,"rz in sorzica",3.5
"323","kp",2019,"oves",2.8
"324","kp",2014,"trave",4.7
"325","ng",2013,"breskve in nektarine",16.2
"326","ng",2010,"jabolka",26.9
"327","ng",2015,"travniki in pašniki",5.1
"328","kp",2015,"psenica in pira",3.8
"329","kp",2020,"buce",0.1
"330","kp",2014,"koruza",47
"331","ng",2017,"lucerna",7.9
"332","ng",2019,"travniki in pašniki",4.5
"333","kp",2015,"krompir",21.1
"334","kp",2020,"rz in sorzica",4
"335","kp",2015,"tritikala",4
"336","ng",2015,"trave",9
"337","ng",2020,"breskve in nektarine",7.2
"338","kp",2010,"buce",0.7
"339","kp",2017,"jecmen",2.9
"340","kp",2010,"jecmen",2.9
"341","kp",2018,"oljna ogrscica in repica",2.4
"342","kp",2012,"krompir",15.1
"343","kp",2017,"rz in sorzica",4
"344","kp",2013,"oljna ogrscica in repica",3.9
"345","kp",2020,"trave",4.6
"346","kp",2014,"trave",4.3
"347","ng",2011,"trave",9.9
"348","ng",2016,"breskve in nektarine",18.6
"349","sg",2017,"oves",2.8
"350","sg",2011,"jecmen",3.3
"351","ng",2017,"trave",6.4
"352","kp",2015,"travniki in pašniki",3.1
"353","ng",2012,"grozdje",4.3
"354","sg",2013,"psenica in pira",3.6
"355","ng",2011,"rz in sorzica",2.5
"356","ng",2015,"krompir",26.8
"357","kp",2014,"tritikala",4.1
"358","ng",2018,"oljke",3.9
"359","kp",2018,"koruza",43
"360","ng",2017,"koruza",25.6
"361","kp",2019,"grozdje",5.9
"362","kp",2013,"jecmen",3.2
"363","sg",2012,"rz in sorzica",3
"364","sg",2017,"jecmen",4.1
"365","sg",2011,"hmelj",2.1
"366","kp",2011,"tritikala",4.7
"367","kp",2020,"trave",4.2
"368","kp",2014,"breskve in nektarine",8.7
"369","kp",2017,"oljna ogrscica in repica",2.3
"370","sg",2018,"buce",0.5
"371","sg",2012,"koruza",40.6
"372","ng",2019,"oljke",0.8
"373","ng",2013,"grozdje",5.6
"374","ng",2020,"trave",8
"375","kp",2018,"oves",2.5
"376","kp",2012,"jecmen",3.1
"377","ng",2012,"detelja",5.4
"378","kp",2017,"detelja",3.9
"379","ng",2016,"jecmen",4.2
"380","kp",2016,"oljke",1.3
"381","kp",2010,"grozdje",5.8
"382","ng",2020,"rz in sorzica",4
"383","ng",2018,"psenica in pira",5.2
"384","sg",2019,"tritikala",5
"385","sg",2013,"oljna ogrscica in repica",0.9
"386","sg",2018,"koruza",45.4
"387","kp",2017,"lucerna",4.5
"388","kp",2011,"trave",5.5
"389","kp",2016,"breskve in nektarine",14.3
"390","kp",2010,"jabolka",29.7
"391","sg",2014,"koruza",7.6
"392","kp",2017,"buce",0.5
"393","kp",2011,"koruza",52
"394","ng",2020,"detelja",7.2
"395","ng",2014,"trave",8.6
"396","kp",2020,"grozdje",5.9
"397","kp",2014,"travniki in pašniki",3.3
"398","sg",2011,"jabolka",23
"399","kp",2012,"psenica in pira",3.8
"400","ng",2012,"oljna ogrscica in repica",3.1
"401","kp",2014,"jabolka",30.6
"402","ng",2017,"trave",4.5
"403","kp",2011,"trave",5.4
"404","sg",2012,"trave",8.2
"405","sg",2017,"breskve in nektarine",9.2
"406","kp",2018,"tritikala",3.8
"407","ng",2013,"jabolka",19.4
"408","kp",2017,"oljke",1.3
"409","kp",2011,"grozdje",5.8
"410","kp",2018,"oljke",2.9
"411","kp",2012,"grozdje",3.8
"412","kp",2019,"krompir",19.9
"413","kp",2013,"koruza",3.9
"414","ng",2020,"oljna ogrscica in repica",2.6
"415","kp",2015,"lucerna",5.3
"416","sg",2020,"detelja",7.5
"417","sg",2014,"trave",6.1
"418","kp",2010,"trave",5.6
"419","kp",2015,"breskve in nektarine",14.3
"420","ng",2015,"jecmen",4.3
"421","ng",2014,"trave",10.4
"422","ng",2019,"breskve in nektarine",17.1
"423","ng",2018,"lucerna",11.1
"424","ng",2018,"travniki in pašniki",5.1
"425","sg",2019,"psenica in pira",5.3
"426","kp",2019,"travniki in pašniki",2.8
"427","sg",2018,"lucerna",7.6
"428","ng",2020,"lucerna",9.2
"429","ng",2012,"jabolka",20.7
"430","sg",2015,"hmelj",2
"431","sg",2020,"krompir",27.9
"432","kp",2012,"oljna ogrscica in repica",3.7
"433","kp",2017,"koruza",35
"434","kp",2016,"lucerna",5.2
"435","ng",2018,"breskve in nektarine",18.6
"436","kp",2014,"psenica in pira",3.9
"437","kp",2019,"buce",0.4
"438","kp",2018,"psenica in pira",3.7
"439","ng",2011,"detelja",9.8
"440","ng",2016,"trave",5.7
"441","ng",2010,"oljke",2.4
"442","kp",2011,"krompir",22.7
"443","kp",2012,"koruza",38
"444","kp",2017,"oves",2.3
"445","ng",2017,"travniki in pašniki",4.4
"446","sg",2020,"travniki in pašniki",6.6
"447","kp",2020,"breskve in nektarine",9.5
"448","kp",2018,"jabolka",41.2
"449","sg",2013,"grozdje",6.4
"450","ng",2015,"grozdje",7.6
"451","kp",2018,"breskve in nektarine",15
"452","kp",2012,"jabolka",5.6
"453","ng",2010,"trave",9.1
"454","ng",2014,"krompir",27.2
"455","ng",2012,"oves",2.7
"456","ng",2017,"psenica in pira",4.2
"457","kp",2011,"rz in sorzica",4.8
"458","ng",2013,"trave",7.5
"459","kp",2020,"tritikala",4.1
"460","ng",2016,"trave",7.5
"461","ng",2019,"koruza",5.1
"462","sg",2015,"jabolka",15
"463","ng",2013,"lucerna",8.2
"464","ng",2018,"trave",8
"465","ng",2012,"breskve in nektarine",14.3
"466","kp",2016,"oves",2.7
"467","kp",2018,"buce",0.4
"468","ng",2014,"buce",0.6
"469","kp",2016,"rz in sorzica",3.8
"470","kp",2017,"travniki in pašniki",2.3
"471","kp",2019,"trave",4.8
"472","sg",2014,"detelja",6.5
"473","ng",2014,"grozdje",6.7
"474","ng",2010,"breskve in nektarine",17.3
"475","kp",2016,"jecmen",3.2
"476","ng",2020,"jabolka",11.9
"477","ng",2020,"trave",8.1
"478","ng",2014,"oljke",1.1
"479","kp",2013,"koruza",32
"480","kp",2016,"oljna ogrscica in repica",1.8
"481","kp",2010,"krompir",23.1
"482","ng",2011,"oljna ogrscica in repica",2.7
"483","ng",2016,"koruza",27.4
"484","ng",2011,"travniki in pašniki",5.2
"485","kp",2019,"jabolka",23.8
"486","kp",2013,"belo zelje",12.3
"487","kp",2011,"jecmen",3.5
"488","kp",2012,"trave",2
"489","kp",2014,"koruza",6.1
"490","kp",2019,"tritikala",4.1
"491","kp",2012,"belo zelje",11.6
"492","ng",2019,"trave",5.8
"493","ng",2013,"oljke",1.3
"494","ng",2018,"belo zelje",20.7
"495","kp",2010,"tritikala",3.3
"496","kp",2011,"detelja",5.2
"497","kp",2013,"trave",3
"498","ng",2020,"belo zelje",20
"499","kp",2015,"rz in sorzica",3.8
"500","kp",2013,"trave",3.5
"501","ng",2015,"detelja",8.4
"502","ng",2014,"belo zelje",24
"503","ng",2019,"detelja",6.6
"504","ng",2010,"trave",9.4
"505","ng",2015,"trave",7.6
"506","ng",2016,"travniki in pašniki",5.2
"507","ng",2016,"jabolka",29.7
"508","kp",2015,"koruza",5.7
"509","kp",2010,"psenica in pira",3.2
"510","kp",2015,"buce",0.2
"511","kp",2020,"koruza",6.5
"512","ng",2013,"oves",2.1
"513","kp",2019,"psenica in pira",3.8
"514","ng",2011,"trave",8.3
"515","kp",2014,"grozdje",5.6
"516","ng",2019,"lucerna",6.9
"517","kp",2020,"jecmen",3.3
"518","ng",2010,"grozdje",7.2
"519","ng",2012,"lucerna",6.1
"520","ng",2018,"koruza",9
"521","ng",2020,"oljke",2.9
"522","kp",2017,"koruza",4.2
"523","ng",2010,"detelja",9.6
"524","ng",2015,"belo zelje",24.7
"525","ng",2011,"oljke",1.6
"526","ng",2016,"belo zelje",24.5
"527","sg",2015,"belo zelje",20.5
"528","kp",2019,"oljna ogrscica in repica",2.4
"529","ng",2016,"grozdje",5.9
"530","ng",2010,"travniki in pašniki",5.4
"531","ng",2014,"lucerna",11.2
"532","kp",2018,"detelja",5
"533","kp",2015,"trave",4
"534","ng",2015,"oljke",1.1
"535","ng",2020,"travniki in pašniki",5.2
"536","kp",2011,"oves",2.6
"537","ng",2015,"lucerna",10.2
"538","kp",2011,"koruza",6.2
"539","kp",2020,"oves",2.6
"540","ng",2019,"belo zelje",20.9
"541","ng",2017,"breskve in nektarine",9.8
"542","kp",2014,"oves",2.6
"543","ng",2017,"trave",6
"544","ng",2013,"trave",6.5
"545","ng",2012,"trave",4.9
"546","ng",2019,"trave",5.4
"547","kp",2017,"krompir",17.6
"548","ng",2015,"trave",6.2
"549","kp",2020,"oljke",2.1
"550","ng",2017,"grozdje",6.7
"551","kp",2019,"lucerna",5
"552","ng",2019,"grozdje",6
"553","kr",2017,"jecmen",5.6
"554","ng",2011,"jabolka",27.9
"555","ng",2018,"krompir",27.8
"556","ng",2010,"koruza",8.8
"557","ng",2020,"trave",7.2
"558","kp",2020,"krompir",26
"559","ng",2011,"koruza",40.2
"560","kp",2016,"psenica in pira",3.6
"561","ng",2010,"lucerna",9.2
"562","ng",2017,"buce",0.6
"563","ng",2011,"breskve in nektarine",17.6
"564","kp",2013,"psenica in pira",3.4
"565","ng",2014,"rz in sorzica",3.9
"566","kp",2014,"jecmen",3.6
"567","ng",2016,"detelja",7.6
"568","ng",2014,"detelja",9.3
"569","ng",2018,"tritikala",4.4
"570","ng",2014,"travniki in pašniki",5.2
"571","ng",2017,"jabolka",6.8
"572","ng",2012,"psenica in pira",3.5
"573","kp",2013,"buce",0.3
"574","kp",2012,"oves",2.1
"575","kr",2012,"rz in sorzica",2.9
"576","kr",2018,"koruza",50.9
"577","kr",2013,"oljna ogrscica in repica",3.6
"578","kr",2019,"psenica in pira",4.3
"579","kr",2014,"oves",3.5
"580","kr",2020,"koruza",9.7
"581","ng",2020,"grozdje",6
"582","ng",2020,"koruza",33.4
"583","ng",2016,"buce",0.8
"584","ng",2019,"psenica in pira",4
"585","kr",2015,"buce",0.7
"586","kr",2010,"psenica in pira",5
"587","ng",2019,"buce",0.6
"588","kp",2015,"koruza",45
"589","kr",2016,"tritikala",5.1
"590","kr",2011,"koruza",9.3
"591","kr",2017,"krompir",29.6
"592","kr",2018,"jecmen",4.6
"593","kr",2013,"rz in sorzica",3.9
"594","kr",2019,"koruza",52.2
"595","kr",2014,"oljna ogrscica in repica",3.9
"596","kr",2020,"psenica in pira",5.2
"597","kr",2015,"oves",3.6
"598","kr",2010,"koruza",48.5
"599","kr",2016,"buce",0.8
"600","kr",2011,"psenica in pira",5
"601","kr",2017,"tritikala",5.4
"602","kr",2012,"koruza",7.7
"603","kr",2018,"krompir",27.3
"604","kr",2019,"jecmen",4.8
"605","kr",2014,"rz in sorzica",3.7
"606","kr",2020,"koruza",55.7
"607","kr",2015,"oljna ogrscica in repica",3
"608","ng",2015,"oljna ogrscica in repica",2.1
"609","ng",2011,"psenica in pira",4.3
"610","ng",2014,"oves",2.5
"611","ng",2015,"koruza",7.7
"612","kp",2018,"koruza",6.4
"613","ng",2011,"trave",9.7
"614","ng",2016,"oljke",2.1
"615","ng",2017,"tritikala",3.4
"616","ng",2020,"koruza",9.3
"617","ng",2012,"trave",3.7
"618","ng",2010,"oves",2.7
"619","kp",2010,"rz in sorzica",3.7
"620","ng",2015,"jabolka",30.1
"621","ng",2010,"belo zelje",17.2
"622","ng",2015,"breskve in nektarine",19.6
"623","kp",2016,"tritikala",4
"624","ng",2018,"trave",9.5
"625","ng",2016,"krompir",25.2
"626","kp",2016,"koruza",40
"627","ng",2014,"psenica in pira",4.4
"628","ng",2012,"rz in sorzica",2.3
"629","ng",2015,"tritikala",4.3
"630","ng",2010,"trave",9.2
"631","ng",2013,"belo zelje",9.4
"632","ng",2018,"detelja",8.9
"633","ng",2019,"jecmen",4.4
"634","ng",2016,"tritikala",3.8
"635","ng",2017,"detelja",6.6
"636","ng",2016,"oves",3.6
"637","ng",2019,"jabolka",20.3
"638","ng",2010,"krompir",26.6
"639","ng",2015,"rz in sorzica",3.7
"640","ng",2020,"jecmen",4.5
"641","ng",2014,"breskve in nektarine",12.4
"642","kp",2014,"krompir",22.6
"643","ng",2013,"koruza",2.8
"644","kr",2010,"jecmen",4.7
"645","kr",2016,"oves",3.6
"646","kr",2011,"koruza",51
"647","kr",2017,"buce",0.6
"648","kr",2012,"psenica in pira",5.5
"649","kr",2018,"tritikala",5.3
"650","kr",2013,"koruza",5.4
"651","kr",2019,"krompir",26.4
"652","kr",2020,"jecmen",4.7
"653","kr",2015,"rz in sorzica",3.9
"654","kr",2010,"krompir",27.4
"655","kr",2016,"oljna ogrscica in repica",2
"656","kr",2011,"jecmen",4.7
"657","kr",2017,"oves",3
"658","kr",2012,"koruza",47.2
"659","kr",2018,"buce",0.8
"660","kr",2013,"psenica in pira",5.2
"661","kr",2019,"tritikala",5
"662","kr",2014,"koruza",8.9
"663","kr",2020,"krompir",33.8
"664","kr",2010,"tritikala",4
"665","kr",2016,"rz in sorzica",3.9
"666","kr",2011,"krompir",29.5
"667","kr",2017,"oljna ogrscica in repica",2.6
"668","kr",2012,"jecmen",4.9
"669","kr",2018,"oves",3
"670","kr",2013,"koruza",35.6
"671","kr",2019,"buce",0.6
"672","kr",2014,"psenica in pira",5.6
"673","kr",2020,"tritikala",5.6
"674","kr",2015,"koruza",9.5
"675","kr",2010,"buce",0.7
"676","kr",2011,"tritikala",4
"677","kr",2017,"rz in sorzica",4.4
"678","kr",2012,"krompir",25.9
"679","kr",2018,"oljna ogrscica in repica",3
"680","kr",2013,"jecmen",4.7
"681","kr",2019,"oves",3.2
"682","kr",2014,"koruza",52.7
"683","kr",2020,"buce",0.7
"684","kr",2015,"psenica in pira",5.4
"685","kr",2010,"oves",4.1
"686","kr",2016,"koruza",9.4
"687","kr",2011,"buce",0.7
"688","kr",2012,"tritikala",4.5
"689","kr",2018,"rz in sorzica",3.1
"690","kr",2013,"krompir",18.4
"691","kr",2019,"oljna ogrscica in repica",3
"692","kr",2014,"jecmen",5.9
"693","kr",2020,"oves",3
"694","kr",2015,"koruza",51.8
"695","kr",2010,"oljna ogrscica in repica",4.2
"696","kr",2016,"psenica in pira",5
"697","kr",2011,"oves",3.9
"698","kr",2017,"koruza",9
"699","kr",2012,"buce",0.5
"700","kr",2013,"tritikala",4.7
"701","kr",2019,"rz in sorzica",3.2
"702","kr",2014,"krompir",29.5
"703","kr",2020,"oljna ogrscica in repica",3
"704","kr",2015,"jecmen",5.6
"705","kr",2010,"rz in sorzica",3.5
"706","kr",2016,"koruza",53.6
"707","kr",2011,"oljna ogrscica in repica",2.5
"708","kr",2017,"psenica in pira",4.7
"709","kr",2012,"oves",3.9
"710","kr",2018,"koruza",9.6
"711","kr",2013,"buce",0.5
"712","kr",2014,"tritikala",5.1
"713","kr",2020,"rz in sorzica",3.3
"714","kr",2015,"krompir",29.5
"715","kr",2016,"jecmen",5.3
"716","kr",2011,"rz in sorzica",3.8
"717","kr",2017,"koruza",53.2
"718","kr",2012,"oljna ogrscica in repica",3.3
"719","kr",2018,"psenica in pira",4.4
"720","kr",2013,"oves",2.9
"721","kr",2019,"koruza",8.7
"722","kr",2014,"buce",0.6
"723","kr",2015,"tritikala",5.7
"724","kr",2010,"koruza",8.7
"725","kr",2016,"krompir",30.4
"726","kr",2011,"breskve in nektarine",16.5
"727","kr",2017,"trave",7.8
"728","kr",2012,"lucerna",7.3
"729","kr",2018,"belo zelje",49.5
"730","kr",2019,"trave",8.4
"731","kr",2014,"detelja",8.2
