"Skupna in kmetijska zemljišèa kmetijskih gospodarstev po statistiènih regijah, Slovenija, veèletno"

"STATISTIÈNA REGIJA"	"VRSTA ZEMLJIŠÈA"	"2003 Površina [ha]"	"2005 Površina [ha]"	"2007 Površina [ha]"	"2010 Površina [ha]"	"2013 Površina [ha]"	"2016 Površina [ha]"
"Podravska"	"Nerodovitno"	1794	2285	2426	2502	2473	1909
"Koroška"	"Vrsta zemljišèa - SKUPAJ"	59762	56688	52822	57717	57163	55430
"Koroška"	"Kmetijska zemljišèa"	22057	22311	21214	22069	20851	21736
"Koroška"	"..Njive"	3483	3686	3096	3239	2684	3576
"Koroška"	"....Žita"	N	N	212	345	294	346
"Koroška"	"....Zelena krma z njiv"	2596	2528	2385	2411	2084	2678
"Koroška"	"..Trajni nasadi"	N	453	473	603	703	631
"Koroška"	"..Trajni travniki in pašniki"	17864	17242	16824	17321	16982	17132
"Koroška"	"Gozd"	36889	32901	30494	34594	34932	32718
"Koroška"	"Nerodovitno"	816	1476	1114	1054	1380	977
"Savinjska"	"Vrsta zemljišèa - SKUPAJ"	142980	140195	137996	136491	126583	128685
"Savinjska"	"Kmetijska zemljišèa"	71199	72073	69095	68545	67388	64739
"Savinjska"	"..Njive"	15940	16067	15066	15283	16189	14656
"Savinjska"	"....Žita"	6084	5692	4948	4637	4658	4231
"Savinjska"	"....Zelena krma z njiv"	7200	7803	7948	8336	8870	7848
"Savinjska"	"..Trajni nasadi"	2334	2900	2741	2554	2823	2881
"Savinjska"	"..Trajni travniki in pašniki"	51625	50365	50004	49461	46614	46088
"Savinjska"	"Gozd"	68754	64263	64441	64208	56288	61943
"Savinjska"	"Nerodovitno"	N	3859	N	3738	2907	2002
"Zasavska"	"Vrsta zemljišèa - SKUPAJ"	N	16433	15395	15439	13104	24267
"Zasavska"	"Kmetijska zemljišèa"	N	6826	5642	6257	5358	10202
"Zasavska"	"..Njive"	N	N	N	248	180	856
"Zasavska"	"....Žita"	N	N	N	35	N	N
"Zasavska"	"....Zelena krma z njiv"	N	121	N	162	105	508
"Zasavska"	"..Trajni nasadi"	N	N	N	179	226	300
"Zasavska"	"..Trajni travniki in pašniki"	N	6084	5160	5577	4766	8750
